Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create-auction-listing:/create-auction-listing,1000,430,410,636,733,887,59,1074,0.000%,53.10110,13292.44,78.36
TOTAL,1000,430,410,636,733,887,59,1074,0.000%,53.10110,13292.44,78.36
