Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
checkout-get:/checkout,5000,2312,2279,3027,3267,3753,178,4581,0.000%,20.83924,5178.31,34.37
TOTAL,5000,2312,2279,3027,3267,3753,178,4581,0.000%,20.83924,5178.31,34.37
