Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create-auction-listing:/create-auction-listing,1000,380,358,590,661,787,71,1066,0.000%,57.37893,7.90,51.72
TOTAL,1000,380,358,590,661,787,71,1066,0.000%,57.37893,7.90,51.72
