Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
checkout:/checkout-post,1000,2059,1991,2817,3143,3587,241,4224,0.000%,11.46500,1.99,10.71
TOTAL,1000,2059,1991,2817,3143,3587,241,4224,0.000%,11.46500,1.99,10.71
