Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
index-post:index-post,1000,561,529,819,907,1064,104,1230,0.000%,40.42691,10051.14,58.43
TOTAL,1000,561,529,819,907,1064,104,1230,0.000%,40.42691,10051.14,58.43
