Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
account-detail:/account-detail,1000,551,524,796,877,1048,98,1383,0.000%,41.74320,10370.05,61.27
TOTAL,1000,551,524,796,877,1048,98,1383,0.000%,41.74320,10370.05,61.27
