Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/edit-account-get,1000,860,842,1174,1276,1532,135,1935,0.000%,28.21272,7032.05,45.79
TOTAL,1000,860,842,1174,1276,1532,135,1935,0.000%,28.21272,7032.05,45.79
