Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
index-get:index-get,1000,572,547,839,944,1121,106,1386,0.000%,39.75985,9885.29,54.20
TOTAL,1000,572,547,839,944,1121,106,1386,0.000%,39.75985,9885.29,54.20
