Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
edit-order:edit-order-get,1000,1841,1778,2523,2778,3300,307,3921,0.000%,13.01236,4230.50,18.31
TOTAL,1000,1841,1778,2523,2778,3300,307,3921,0.000%,13.01236,4230.50,18.31
