Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/edit-account-get,5000,1677,1612,2217,2422,2811,122,3565,0.000%,29.39465,7326.64,47.71
TOTAL,5000,1677,1612,2217,2422,2811,122,3565,0.000%,29.39465,7326.64,47.71
