Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
view-purchases:view-purchases-get,1000,1170,1157,1558,1655,1839,178,2077,0.000%,20.66756,5087.77,28.26
TOTAL,1000,1170,1157,1558,1655,1839,178,2077,0.000%,20.66756,5087.77,28.26
