Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
edit-listing:/edit-listing-get,1000,1084,1048,1464,1637,1951,329,2393,0.000%,21.55405,5407.75,30.37
TOTAL,1000,1084,1048,1464,1637,1951,329,2393,0.000%,21.55405,5407.75,30.37
