Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
create-fixed-price-listing:/create-fixed-price-listing,1000,414,385,646,709,839,62,922,0.000%,54.20348,7.46,46.32
TOTAL,1000,414,385,646,709,839,62,922,0.000%,54.20348,7.46,46.32
