Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/login-get,1000,2139,2072,2870,3206,3752,577,4093,0.000%,10.63807,1.43,8.36
TOTAL,1000,2139,2072,2870,3206,3752,577,4093,0.000%,10.63807,1.43,8.36
