Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
view-listings:view-listings-get,1000,553,536,787,860,1011,94,1189,0.000%,40.06410,9897.16,56.30
TOTAL,1000,553,536,787,860,1011,94,1189,0.000%,40.06410,9897.16,56.30
